광역시도,시군구,선거인수,투표수,이재명,김문수,이준석
서울특별시,종로구,125901,99261,47735,39574,9326
서울특별시,중구,110181,87166,40482,36302,8450
서울특별시,용산구,183614,143813,58705,67927,13794
서울특별시,성동구,244536,196282,88028,84043,20217
서울특별시,광진구,301007,239807,114304,94752,25469
서울특별시,동대문구,307846,246264,117631,97549,25928
서울특별시,중랑구,342360,267642,137420,102137,22923
서울특별시,성북구,374002,300299,152624,111271,29394
서울특별시,강북구,257971,198136,105780,72792,15575
서울특별시,도봉구,272942,216499,110614,84148,17568
서울특별시,노원구,430719,350440,176604,131061,35615
서울특별시,은평구,411789,326136,171417,118639,28163
서울특별시,서대문구,269110,216261,107451,81882,21264
서울특별시,마포구,321302,260533,125049,101016,26948
서울특별시,양천구,368029,299637,143686,122867,27234
서울특별시,강서구,493010,392879,196256,149837,38416
서울특별시,구로구,344220,278196,139034,108039,25433
서울특별시,금천구,206121,161132,83102,58686,15979
서울특별시,영등포구,335136,271596,123593,111861,29911
서울특별시,동작구,337985,275295,128028,111735,29432
서울특별시,관악구,446923,350839,171149,126951,43385
서울특별시,서초구,345855,280913,94722,153536,27500
서울특별시,강남구,472730,373762,119722,210177,37564
서울특별시,송파구,561654,458526,191678,212094,46194
서울특별시,강동구,428942,350292,160645,149529,33664
부산광역시,중구,35284,26223,9784,14167,1861
부산광역시,서구,92886,71591,26800,38496,5081
부산광역시,동구,77893,59632,22744,31875,4061
부산광역시,영도구,93909,70342,29962,35217,4133
부산광역시,부산진구,325663,252934,101093,126802,20697
부산광역시,동래구,235338,189601,74245,97629,14656
부산광역시,남구,222856,176630,69214,91037,13662
부산광역시,북구,234995,187682,77258,93564,13884
부산광역시,해운대구,325211,255777,97486,135755,18806
부산광역시,기장군,145228,112103,48742,53493,8181
부산광역시,사하구,258595,199077,82504,99642,13814
부산광역시,금정구,188148,149515,55470,79737,11899
부산광역시,강서구,112618,89257,40580,40065,7254
부산광역시,연제구,184908,148025,58466,75594,11530
부산광역시,수영구,153669,119331,44558,63669,9057
부산광역시,사상구,178351,138035,56307,69496,9897
대구광역시,중구,85181,68687,16317,44323,6934
대구광역시,동구,300119,240878,57694,160000,19509
대구광역시,서구,147381,114567,21840,83588,7554
대구광역시,남구,125079,96240,20940,66687,7096
대구광역시,북구,358624,287673,68670,189776,24603
대구광역시,수성구,346438,284576,65324,189622,25604
대구광역시,달서구,452664,364667,83001,246446,29887
대구광역시,달성군,212190,168018,42728,109225,13515
대구광역시,군위군,21402,17745,2616,14246,674
인천광역시,중구,146414,110897,57340,40941,10655
인천광역시,동구,51663,40799,20014,17018,2891
인천광역시,미추홀구,366830,273289,136342,108442,23356
인천광역시,연수구,332596,268737,128989,108641,26485
인천광역시,남동구,421631,326991,168404,125604,26957
인천광역시,부평구,435944,339541,178154,125578,29201
인천광역시,계양구,248733,194728,106747,69027,15369
인천광역시,서구,533584,417136,223841,147562,38226
인천광역시,강화군,63399,48634,19095,26323,2497
인천광역시,옹진군,18554,14603,5369,7816,1102
광주광역시,동구,92286,77545,63684,7402,5212
광주광역시,서구,240133,200340,168407,16782,12238
광주광역시,남구,176412,149219,126148,12337,8635
광주광역시,북구,362472,304117,257145,23544,18674
광주광역시,광산구,323168,270928,229298,19872,17345
대전광역시,동구,194244,148238,70915,62048,12499
대전광역시,중구,196407,152894,71677,65844,12510
대전광역시,서구,396043,310477,148720,124865,30731
대전광역시,유성구,307342,251223,123402,93434,29350
대전광역시,대덕구,147846,114777,55607,47358,9634
울산광역시,중구,178000,143233,56743,72445,11302
울산광역시,남구,263759,211142,81512,106707,18960
울산광역시,동구,126811,100387,47822,41934,8034
울산광역시,북구,176478,143084,69055,57703,12795
울산광역시,울주군,189461,150104,60688,74391,12086
세종특별자치시,세종특별자치시,307067,254695,140620,83965,25004
경기도,수원시장안구,238889,193748,98188,72781,19284
경기도,수원시권선구,313951,246530,127809,91049,23247
경기도,수원시팔달구,172558,133880,64971,52733,13752
경기도,수원시영통구,301242,250748,122204,92635,31281
경기도,성남시수정구,208154,166071,89700,59467,14371
경기도,성남시중원구,184068,146706,83821,49360,11240
경기도,성남시분당구,397014,332152,146248,147997,32522
경기도,의정부시,402095,310907,167551,113085,24918
경기도,안양시만안구,208500,168381,86561,64294,14671
경기도,안양시동안구,279415,235876,118064,90041,23637
경기도,부천시원미구,341688,273444,145748,99296,23394
경기도,부천시소사구,197016,159574,86560,58163,11989
경기도,부천시오정구,136399,104812,59047,36313,7710
경기도,광명시,244138,203585,107527,74375,18088
경기도,평택시,506849,381944,193007,147716,34980
경기도,양주시,245241,188275,101884,68936,14502
경기도,동두천시,76927,56479,28433,23681,3515
경기도,안산시상록구,287897,219638,120273,76645,18829
경기도,안산시단원구,255796,197056,107188,68865,17464
경기도,고양시덕양구,424683,341499,183659,122394,28962
경기도,고양시일산동구,255448,201343,103306,77368,17098
경기도,고양시일산서구,243541,196109,101911,74746,16030
